lead_id,company,person,email,email_valid,vertical,step,subject,body,linkedin_connect,linkedin_dm
8908d0477b,Maki People,,,False,HR-tech,1,ai act · Maki People,"Maki People's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=8908d0477b to opt out",Maki People runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Maki People's model? just your real numbers, no pitch."
9df5588b9a,HrFlow.ai,,,False,HR-tech,1,ai act · HrFlow.ai,"HrFlow.ai's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=9df5588b9a to opt out",HrFlow.ai runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of HrFlow.ai's model? just your real numbers, no pitch."
c935745342,Dex,,,False,HR-tech,1,ai act · Dex,"Dex's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=c935745342 to opt out",Dex runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Dex's model? just your real numbers, no pitch."
7569cb73d1,Carv,,,False,HR-tech,1,ai act · Carv,"Carv's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=7569cb73d1 to opt out",Carv runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Carv's model? just your real numbers, no pitch."
95f14f9d39,Empion,,,False,HR-tech,1,ai act · Empion,"Empion's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=95f14f9d39 to opt out",Empion runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Empion's model? just your real numbers, no pitch."
dfddb46750,Retorio,,,False,HR-tech,1,ai act · Retorio,"Retorio's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=dfddb46750 to opt out",Retorio runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Retorio's model? just your real numbers, no pitch."
e875c3d760,Tengai,,,False,HR-tech,1,ai act · Tengai,"Tengai's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=e875c3d760 to opt out",Tengai runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Tengai's model? just your real numbers, no pitch."
07807e8248,Vinter,,,False,HR-tech,1,ai act · Vinter,"Vinter's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=07807e8248 to opt out",Vinter runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Vinter's model? just your real numbers, no pitch."
8132b04ce5,Alva Labs,,,False,HR-tech,1,ai act · Alva Labs,"Alva Labs's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=8132b04ce5 to opt out",Alva Labs runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Alva Labs's model? just your real numbers, no pitch."
23d1665981,Sapia.ai,,,False,HR-tech,1,ai act · Sapia.ai,"Sapia.ai's LLM for your LLM-driven decisions is high-risk under the EU AI Act (live Aug 2026), and providers change models with no changelog.
Verispect proves yours isn't drifting/biased in 1 line of code — we never see your data.
Free 5-min snapshot of your model? https://verispectai.com/founding

— Ajay, Verispect · https://verispectai.com/founding?unsub=23d1665981 to opt out",Sapia.ai runs LLMs in your LLM-driven decisions; that's high-risk under the EU AI Act from Aug 2026. Built Verispect to prove a model isn't biased/drifting in 1 line (we never see your data). Worth connecting?,"thanks! quick + real: Aug 2026 the AI Act needs your your LLM-driven decisions model to prove no bias/drift. Verispect does it in one line, we never see your data.
free 5-min snapshot of Sapia.ai's model? just your real numbers, no pitch."
